epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.502,1.74385,3.04642,1.92361,0.33084,0.11211,0.15644,0.04345,2.24613,4.05119,2.57505,0.000659091,0.000659091,0.000659091
2,430.402,1.90182,2.88157,2.03841,0.06061,0.07623,0.02506,0.00708,2.6423,7.663,3.01722,0.00131263,0.00131263,0.00131263
3,581.673,2.0077,2.83481,2.19419,0.01485,0.16143,0.00744,0.0022,2.63359,6.5803,3.0943,0.00195297,0.00195297,0.00195297
4,733.656,1.95742,2.72892,2.20621,0.05012,0.15695,0.03102,0.00919,2.59429,3.64082,2.85029,0.0019406,0.0019406,0.0019406
5,886.839,2.01194,2.6787,2.219,0.18906,0.25112,0.13844,0.03864,2.32772,3.31312,2.7001,0.0019208,0.0019208,0.0019208
6,1038.3,1.89122,2.52075,2.15148,0.30758,0.25112,0.20505,0.07775,2.29382,3.12187,2.64638,0.001901,0.001901,0.001901
7,1188.11,1.91222,2.46238,2.13417,0.43246,0.17489,0.14726,0.05649,2.37867,3.67349,2.97001,0.0018812,0.0018812,0.0018812
8,1338.62,1.9676,2.50381,2.18687,0.49834,0.15247,0.17232,0.07699,2.35067,3.60389,3.01191,0.0018614,0.0018614,0.0018614
9,1486.84,1.89951,2.44365,2.12346,0.24821,0.17489,0.11939,0.04062,2.30356,3.36156,2.83702,0.0018416,0.0018416,0.0018416
10,1636.05,1.81398,2.37978,2.05755,0.30854,0.34978,0.26201,0.10152,2.18374,2.59403,2.53611,0.0018218,0.0018218,0.0018218
11,1784.09,1.80413,2.25405,2.03611,0.32662,0.31839,0.26314,0.1221,1.9922,2.60649,2.32638,0.001802,0.001802,0.001802
12,1930.08,1.84866,2.31437,2.08708,0.51945,0.287,0.33041,0.1261,2.06908,2.83893,2.42076,0.0017822,0.0017822,0.0017822
13,2079.15,1.78049,2.21967,2.0178,0.34986,0.32735,0.27848,0.11658,2.03017,2.66475,2.33513,0.0017624,0.0017624,0.0017624
14,2230.04,1.78003,2.20442,2.00435,0.43545,0.32735,0.35765,0.16886,1.97067,2.52028,2.36363,0.0017426,0.0017426,0.0017426
